トイレ は どこ です か?	卫生间 在 哪里？?
空港 は どこ です か?	机场 在 哪里？?
駅 は どこ です か?	车站 在 哪里？?
地下 鉄 の 駅 は どこ です か?	地 鐵 站 在 哪里？?
タクシー 乗り場 は どこ です か?	出租车 乘车 地点 在 哪里？?
バス 停 は どこ です か?	公交车站 在 哪里？?
ホテル は どこ です か?	酒店 在 哪里？?
ホステル は どこ です か?	旅馆 在 哪里？?
受付 は どこ です か?	服务台 在 哪里？?
フロント デスク は どこ です か?	前台 在 哪里？?
インフォメーション は どこ です か?	信息 在 哪里？?
観光 案内 所 は どこ です か?	旅游 案内 所在 哪里？?
大使 館 は どこ です か?	大使馆 在 哪里？?
領事 館 は どこ です か?	领事馆 在 哪里？?
警察 署 は どこ です か?	警察局 在 哪里？?
病院 は どこ です か?	医院 在 哪里？?
診療 所 は どこ です か?	诊所 在 哪里？?
薬局 は どこ です か?	药店 在 哪里？?
医師 は どこ です か?	医生 在 哪里？?
図書 館 は どこ です か?	图书馆 在 哪里？?
歯 医者 さん は どこ です か?	牙医 在 哪里？?
美術 館 は どこ です か?	美术馆 在 哪里？?
劇場 は どこ です か?	电影院 在 哪里？?
映画 館 は どこ です か?	电影院 在 哪里？?
公園 は どこ です か?	公园 在 哪里？?
スタジアム は どこ です か?	球场 在 哪里？?
ビーチ は どこ です か?	海滩 在 哪里？?
銀行 は どこ です か?	银行 在 哪里？?
ATM は どこ です か?	自动 取款机 在 哪里？?
スーパーマーケット は どこ です か?	超市 在 哪里？?
スーパー は どこ です か?	超市 在 哪里？?
パン 屋 さん は どこ です か?	面包店 在 哪里？?
肉屋 さん は どこ です か?	肉 铺子 在 哪里？?
コンビニ は どこ です か?	便利店 在 哪里？?
市場 は どこ です か?	市场 在 哪里？?
ショッピング モール は どこ です か?	购物中心 在 哪里？?
百貨 店 は どこ です か?	百货商店 在 哪里？?
郵便 局 は どこ です か?	邮局 在 哪里？?
市 役所 は どこ です か?	市政府 在 哪里？?
裁判 所 は どこ です か?	法庭 在 哪里？?
学校 は どこ です か?	学校 在 哪里？?
教室 は どこ です か?	教室 在 哪里？?
大学 は どこ です か?	大学 在 哪里？?
食堂 は どこ です か?	食堂 在 哪里？?
レストラン は どこ です か?	餐厅 在 哪里？?
カフェ は どこ です か?	咖啡馆 在 哪里？?
バー は どこ です か?	酒吧 在 哪里？?
駐車 場 は どこ です か?	停车场 在 哪里？?
ガソリン スタンド は どこ です か?	加油站 在 哪里？?
充電 ステーション は どこ です か?	充电站 在 哪里？?
レンタカー は どこ です か?	租车 公司 在 哪里？?
入り口 は どこ です か?	请问 入口 在 哪里？?
出口 は どこ です か?	出口 在 哪里？?
エレベーター は どこ です か?	电梯 在 哪里？?
階段 は どこ です か?	楼梯 在 哪里？?
エスカレーター は どこ です か?	自动扶梯 在 哪里？?
切符 売場 は どこ です か?	车票 售卖 处在 哪里？?
搭乗 ゲート は どこ です か?	登机口 在 哪里？?
荷物 の 引き出し は どこ です か?	行李 的 抽屉 在 哪里？?
セキュリティー チェックポイント は どこ です か?	安全检查 点 在 哪里？?
税関 は どこ です か?	海关 在 哪里？?
入国 は どこ です か?	入 国 は ど こ で す か？?
ロッカー は どこ です か?	请问 Locker 在 哪里？?
遊園 地 は どこ です か?	游乐园 在 哪里？?
水族 館 は どこ です か?	水族馆 在 哪里？?
キャンプ 場 は どこ です か?	营地 在 哪里？?
洗濯 は どこ です か?	洗衣机 在 哪里？?
ジム は どこ です か?	ジ ム は ど こ で す か?
川 は どこ です か?	河流 在 哪里？?
教会 は どこ です か?	教堂 在 哪里？?
薬局 の カウンター は どこ です か?	药店 的 柜台 在 哪里？?
モスク は どこ です か?	清真寺 在 哪里？?
寺院 は どこ です か?	寺庙 在 哪里？?
動物 園 は どこ です か?	动物园 在 哪里？?
理容 室 は どこ です か?	理发室 在 哪里？?
会議 の 場所 は どこ です か?	会议 的 场所 在 哪里？?
預かり 荷物 事務 所 は どこ です か?	收 件物品 办事处 在 哪里？?
橋 は どこ です か?	桥 在 哪里？?
スパ は どこ です か?	厕所 在 哪里？?
美容 院 は どこ です か?	美容院 在 哪里？?
大 聖堂 は どこ です か?	大 教堂 在 哪里？?
シナゴーグ は どこ です か?	太阳镜 在 哪里？?
トイレ は どこ です か？?	卫生间 在 哪里？?
受信 は どこ です か?	收信 是 哪里？?
見晴らし は どこ です か?	风景 在 哪里？?
展示 は どこ に あり ます か?	展览 在 哪里？?
情報 デスク は どこ です か?	信息 台 在 哪里？?
観光 案内 センター は どこ です か?	旅游 案内 中心 在 哪里？?
大使 館 は どこ に あり ます か?	大使馆 在 哪里？?
영사관은 어디에 있습니까?영사 館 は どこ に あり ます か?	领事馆 在 哪里？?
警察 は どこ です か?	警察 在 哪里？?
歯科 医院 は どこ です か?	医院 在 哪里？?
美術 館 は どこ に あり ます か?	美术馆 在 哪里？?
公園 は どこ に あり ます か?	公园 在 哪里？?
놀이터 は どこ です か?	游乐场 在 哪里？?
球場 は どこ です か?	球场 在 哪里？?
海辺 は どこ です か?	海边 在 哪里？?
パン 屋 は どこ です か?	面包店 在 哪里？?
精肉 店 は どこ です か?	请问 肉店 在 哪里？?
お 店 の 場所 は どこ です か?	商店 在 哪里？?
郵便 局 は どこ に あり ます か?	邮局 在 哪里？?
大学 は どこ に あり ます か?	大学 在 哪里 吗？?
술 屋 は どこ です か?	酒馆 在 哪里？?
カフェ は どこ です か？?	咖啡馆 在 哪里？?
レンタカー は どこ に あり ます か?	租车 公司 在 哪里？?
充電 所 は どこ です か?	充电 的 地方 在 哪里？?
エレベーター は どこ に あり ます か?	电梯 在 哪里？?
どこ に お 階 が あり ます か?	请问 厕所 在 哪里？?
荷物 を 探す 場所 は どこ です か?	你 的 行李 在 哪 裡？?
看板 の 販売 所 は どこ です か?	招牌 的 商店 在 哪里？?
安全 検査 台 は どこ に あり ます か?	安全检查 台 在 哪里？?
이민 사무실은 어디에 있습니까?이민 사무실 は どこ に あり ます か?	移民 办事处 在 哪里？?
遊園 地 は どこ に あり ます か?	游乐园 在 哪里？?
洗濯 物 は どこ です か?	衣服 在 哪里？?
会議 場 は どこ です か?	会议室 在 哪里？?
預け入れ の 窓口 は どこ です か?	交纳 窗口 在 哪里？?
展望 台 は どこ に あり ます か?	展望 台 在 哪里？?
足 は どこ です か?	你 的 脚 在 哪里？?
教会 は どこ に あり ます か?	教堂 在 哪里？?
モスク は どこ に あり ます か?	清真寺 在 哪里？?
川 は どこ に あり ます か?	河流 在 哪里？?
美容 室 は どこ です か?	美容院 在 哪里？?
寺院 は どこ に あり ます か?	寺庙 在 哪里？?
スパ は どこ に あり ます か?	刷子 在 哪里？?
헬스 ジム は どこ です か?	健身房 在 哪里？?
空港 は どこ です か？?	机场 在 哪里？?
駅 は どこ です か？?	车站 在 哪里？?
地下 鉄 は どこ です か？?	地 鐵 在 哪 裡？?
タクシー は どこ です か?	出租车 在 哪里？?
旅館 は どこ です か?	旅馆 在 哪里？?
フロント は どこ です か?	前台 在 哪里？?
情報 台 は どこ です か？?	信息 台 在 哪里？?
受付 は どこ です か？?	服务台 在 哪里？?
観光 案内 所 は どこ です か？?	旅游 案内 所在 哪里？?
大使 館 は どこ です か？?	大使馆 在 哪里？?
領事 館 は どこ です か？?	领事馆 在 哪里？?
警察 署 は どこ です か？?	警察局 在 哪里？?
病院 は どこ です か？?	医院 在 哪里？?
薬店 は どこ です か？?	药店 在 哪里？?
歯 医者 さん は どこ です か？?	牙医 在 哪里？?
博物 館 は どこ です か？?	博物馆 在 哪里？?
映画 館 は どこ です か？?	电影院 在 哪里？?
公園 は どこ です か？?	公园 在 哪里？?
遊園 地 は どこ です か？?	游乐园 在 哪里？?
体育 館 は どこ です か？?	体育馆 在 哪里？?
銀行 は どこ です か？?	银行 在 哪里？?
自動 預金 機 は どこ です か？?	自动 提款机 在 哪里？?
スーパー は どこ です か？?	超市 在 哪里？?
コンビニ は どこ です か？?	便利店 在 哪里？?
肉屋 は どこ です か?	肉 铺子 在 哪里？?
市場 は どこ です か？?	市场 在 哪里？?
ショッピング センター は どこ です か？?	购物中心 在 哪里？?
百貨 店 は どこ に あり ます か？?	百货商店 在 哪里？?
郵便 局 は どこ です か？?	邮局 在 哪里？?
市 役所 は どこ です か？?	市 役所 は ど こ で す か？?
教室 は どこ です か？?	教室 在 哪里？?
食堂 は どこ です か？?	食堂 在 哪里？?
喫茶 店 は どこ です か？?	咖啡馆 在 哪里？?
駐車 場 は どこ です か？?	停车场 在 哪里？?
ガソリン スタンド は どこ です か？?	加油站 在 哪里？?
充電 ステーション は どこ です か？?	充电站 在 哪里？?
自動 車 の レンタル は どこ です か？?	汽车 的 租车 地点 在 哪里？?
どこ が 入り口 です か？?	哪里 是 入口？?
出口 は どこ です か？?	出口 在 哪里？?
エレベーター は どこ です か？?	电梯 在 哪里？?
どこ が 階段 です か？?	哪里 是 楼梯？?
切符 は どこ です か?	车票 在 哪里？?
搭乗 口 は どこ です か？?	登机口 在 哪里？?
荷物 の 引き出し は どこ です か？?	行李 的 抽屉 在 哪里？?
検査 は どこ です か？?	检查 在 哪里？?
海関 は どこ です か？?	海关 在 哪里？?
移民 局 は どこ です か？?	移民局 在 哪里？?
ロッカー は どこ です か？?	请问 Locker 在 哪里？?
荷物 預かり は どこ です か？?	行李 寄存处 在 哪里？?
水族 館 は どこ か？?	水族馆 在 哪里？?
フィットネス ジム は どこ です か？?	健身房 在 哪里？?
展望 台 は どこ です か？?	展望 台 在 哪里？?
遊園 は どこ です か？?	游乐园 在 哪里？?
理容 店 は どこ です か？?	理发店 在 哪里？?
ユダヤ 教 の 教会 は どこ です か？?	犹太教 的 教堂 在 哪里？?
薬 房 の カウンター は どこ です か？?	药房 的 柜台 在 哪里？?
キャンプ は どこ です か?	营地 在 哪里？?
洗濯 機 は どこ です か？?	洗衣机 在 哪里？?
会議 の 場所 は どこ です か？?	会议 的 场所 在 哪里？?
橋 は どこ です か？?	桥 在 哪里？?
清真 寺 は どこ です か？?	清真寺 在 哪里？?
寺 は どこ です か?	寺庙 在 哪里？?
温泉 は どこ です か？?	温泉 在 哪里？?
タクシー は どこ に 停車 し て い ます か？?	出租车 在 哪里 停 着 呢？?
あなた の 受信 トレイ は どこ です か？?	您 收件箱 在 哪里？?
展示 は どこ か？?	展览 在 哪里？?
薬屋 は どこ です か？?	药铺 在 哪里？?
情報 の 場所 は どこ です か？?	信息 的 所在 在 哪里？?
医師 は どこ です か？?	医生 在 哪里？?
球場 は どこ です か？?	球场 在 哪里？?
お 肉屋 さん、どこ です か？?	肉店 在 哪里？?
海辺 は どこ です か？?	海边 在 哪里？?
お 店 は どこ です か?	商店 在 哪里？?
コーヒー 店 は どこ です か？?	咖啡店 在 哪里？?
車 の レンタル は どこ です か？?	请问 哪里 可以 租车？?
入り口 は どこ です か？?	请问 入口 在 哪里？?
どこ に 階段 が あり ます か？?	哪里 有 楼梯？?
酒場 は どこ です か？?	酒馆 在 哪里？?
書店 は どこ です か？?	书店 在 哪里？?
移民 事務 局 は どこ です か?	移民局 在 哪里？?
安全 検査 は どこ です か？?	安全检查 在 哪里？?
薬局 の カウンター は どこ です か？?	药店 的 柜台 在 哪里？?
服 は どこ です か？?	衣服 在 哪里？?
荷物 は どこ です か？?	你 的 东西 在 哪里？?
動物 園 は どこ です か？?	动物园 在 哪里？?
展望 台 は どこ です か?	展望 台 在 哪里？?
会議 室 は どこ です か?	会议室 在 哪里？?
足 の どこ です か？?	请问 你 的 脚 在 哪里？?
美容 院 は どこ です か？?	美容院 在 哪里？?
荷物 係 は どこ です か？?	行李 员 在 哪里？?
電車 の 駅 は どこ です か?	火车站 在 哪里？?
地下 鉄 は どこ です か?	地 鐵 在 哪 裡？?
タクシー のりば は どこ です か?	出租车 的 候车 点 在 哪里？?
情報 カウンター は どこ です か?	信息 柜 在 哪里？?
映画 は どこ です か?	电影 在 哪里？?
自動 販売 機 は どこ です か?	自动售货机 在 哪里？?
食料 品 店 は どこ です か?	食品店 在 哪里？?
デパート は どこ です か?	商场 在 哪里？?
コーヒー は どこ です か?	咖啡 在 哪里？?
ショッピング センター は どこ です か?	购物中心 在 哪里？?
チケット は どこ です か?	票 在 哪里？?
搭乗 口 は どこ です か?	登机口 在 哪里？?
荷物 の 預け入れ は どこ です か?	行李 的 托运 处在 哪里？?
セキュリティ チェックポイント は どこ です か?	安全检查 点 在 哪里？?
移民 は どこ です か?	移民 在 哪里？?
荷物 の 預かり 場所 は どこ です か?	行李 的 存放 地点 在 哪里？?
お 寺 は どこ です か?	寺庙 在 哪里？?
シナゴーガ は どこ です か?	シ ナ ゴ ー ガ は ど こ で す か?
待ち合わせ は どこ です か?	见面 地点 在 哪里？?
どこ に ある 清真 寺 です か?	哪里 有 清真寺？?
理髪 店 は どこ です か?	理发店 在 哪里？?
カテドラル は どこ です か?	大 教堂 在 哪里？?
受信 者 は どこ です か?	收信人 是 哪里？?
薬屋 の 箱 は どこ です か?	药铺 的 箱子 在 哪里？?
どこ に お 洗濯 物 は あり ます か?	请问 洗衣 物 在 哪里？?
展示 は どこ です か?	展览 在 哪里？?
歯科 クリニック は どこ です か?	牙科诊所 在 哪里？?
交番 は どこ です か?	交警 站 在 哪里？?
商業 施設 は どこ です か?	商业 设施 在 哪里？?
ポスター の 販売 店 は どこ です か?	海报 的 售卖 店 在 哪里？?
荷物 を 預ける 場所 は どこ です か?	行李 放在 哪里？?
移民 局 は どこ です か?	移民局 在 哪里？?
服 は どこ です か?	衣服 在 哪里？?
安全 検査 の チーム は どこ です か?	安全检查 的 团队 在 哪里？?
どこ に あり ます か？?	您 在 哪里？?
足 の どこ です か?	请问 你 的 脚 在 哪里？?
どこ に ある スパ です か?	哪里 有 咖啡店？?
修道 院 は どこ です か?	寺院 在 哪里？?
情報 センター は どこ です か?	信息中心 在 哪里？?
観光 客 向け の インフォメーション センター は どこ です か	游客 信息中心 在 哪里？
車 rentals の お 店 は どこ です か?	汽车 租赁 店 的 地址 在 哪里？?
荷物 の クレーム カウンター は どこ です か?	行李 柜 reclamo 是 在 哪里？?
デパート は どこ に あり ます か?	商场 在 哪里？?
セキュリティ コントロール は どこ です か?	安全控制 在 哪里？?
観覧 プラットフォーム は どこ です か?	观览 平台 在 哪里？?
洗濯 機 は どこ です か?	洗衣机 在 哪里？?
会議 は、どこ で 開催 さ れ ます か?	会议 将 在 哪里 举行？?
どこ に 入力 箱 が あり ます か?	在 哪里 输入框？?
温泉 は どこ です か?	温泉 在 哪里？?
書店 は どこ です か?	书店 在 哪里？?
スーツケース は どこ です か?	旅行箱 在 哪里？?
どこ です か？?	在 哪里？?
安全 検査 の 駅 は どこ です か	安全检查 的 站 在 哪里？
シャツ は どこ です か?	衬衫 在 哪里？?
荷物 の カウンター は どこ です か?	行李 柜 在 哪里？?
見張り 塔 は どこ です か?	瞭望 塔 在 哪里？?
スパ センター は どこ です か?	ス パ セ ン タ ー は ど こ で す か？?
